"season","round","date","time","gameIDs201516","teamName","homeAway","oppName","pointsTotal","oppPointsTotal","pointsMargin","teamResult","fieldGoalsMade","fieldGoalsAtt","fieldGoalsPct","threesMade","threesAtt","threesPct","freeThrowsMade","freeThrowsAtt","freeThrowsPct","reboundsDef","reboundsOff","reboundsTotal","assists","turnovers","steals","blocks","blocksReceived","foulsPersonal","foulsOn","pointsFromTurnovers","pointsSecondChance","pointsFastBreak","pointsBench","pointsInThePaint","possess","offRtg","defRtg","pointsMarginRtg","offDefRatio","trueShootingRtg","eFGpct","turnoverRate","freeThrowRate","offReboundRate","oppPossess","oppOffRtg","oppDefRtg","oppPointsMarginRtg","oppOffDefRatio","oppTrueShootingRtg","oppeFGpct","oppTurnoverRate","oppFreeThrowRate","oppOffReboundRate"
"2015 / 2016","1",2015-10-09,"1930","20151009-1930_SEQvsBEN","South-East Queensland","Home","Bendigo",80,63,17,"Win",32,72,44.4,4,12,33.3,12,17,70.6,26,10,36,15,9,8,1,5,16,20,14,8,0,0,44,78,102.6,80.8,21.8,1.27,50,47.2,11.5,23.6,26.3,78,80.8,102.6,-21.8,0.79,41.4,37.9,21.8,18.6,36.6
"2015 / 2016","1",2015-10-09,"1930","20151009-1930_SEQvsBEN","Bendigo","Away","South-East Queensland",63,80,-17,"Loss",26,70,37.1,1,14,7.1,10,13,76.9,28,15,43,8,17,1,5,1,20,16,6,4,0,0,40,78,80.8,102.6,-21.8,0.79,41.4,37.9,21.8,18.6,36.6,78,102.6,80.8,21.8,1.27,50,47.2,11.5,23.6,26.3
"2015 / 2016","1",2015-10-10,"1900","20151010-1900_CANvsDAN","Canberra","Home","Dandenong",72,80,-8,"Loss",28,66,42.4,6,19,31.6,10,13,76.9,22,9,31,17,13,6,3,2,22,16,7,6,8,0,30,76,94.7,105.3,-10.6,0.9,49.9,47,17.1,19.7,24.3,76,105.3,94.7,10.6,1.11,51.4,43.8,15.8,41.5,37.1
"2015 / 2016","1",2015-10-10,"1900","20151010-1900_CANvsDAN","Dandenong","Away","Canberra",80,72,8,"Win",27,65,41.5,3,11,27.3,23,27,85.2,28,13,41,14,12,8,2,3,16,22,12,14,19,0,24,76,105.3,94.7,10.6,1.11,51.4,43.8,15.8,41.5,37.1,76,94.7,105.3,-10.6,0.9,49.9,47,17.1,19.7,24.3
"2015 / 2016","1",2015-10-10,"1900","20151010-1900_PERvsSYD","Perth","Home","Sydney",81,70,11,"Win",30,75,40,8,16,50,13,18,72.2,25,15,40,18,8,6,4,3,24,19,13,15,2,0,34,76,106.6,92.1,14.5,1.16,48.5,45.3,10.5,24,38.5,74,94.6,109.5,-14.9,0.86,50.1,44.8,20.3,43.1,28.6
"2015 / 2016","1",2015-10-10,"1900","20151010-1900_PERvsSYD","Sydney","Away","Perth",70,81,-11,"Loss",23,58,39.7,6,20,30,18,25,72,24,10,34,9,15,2,3,4,19,24,6,0,0,0,18,74,94.6,109.5,-14.9,0.86,50.1,44.8,20.3,43.1,28.6,76,106.6,92.1,14.5,1.16,48.5,45.3,10.5,24,38.5
"2015 / 2016","1",2015-10-10,"1900","20151010-1900_TSVvsBEN","Townsville","Home","Bendigo",64,72,-8,"Loss",25,58,43.1,5,13,38.5,9,14,64.3,20,5,25,12,17,6,4,1,19,13,13,7,0,0,32,76,84.2,94.7,-10.5,0.89,49.5,47.4,22.4,24.1,16.7,76,94.7,84.2,10.5,1.12,55,49.1,21.1,35.7,20
"2015 / 2016","1",2015-10-10,"1900","20151010-1900_TSVvsBEN","Bendigo","Away","Townsville",72,64,8,"Win",25,56,44.6,5,14,35.7,17,20,85,25,5,30,16,16,9,1,4,13,19,15,3,0,0,38,76,94.7,84.2,10.5,1.12,55,49.1,21.1,35.7,20,76,84.2,94.7,-10.5,0.89,49.5,47.4,22.4,24.1,16.7
"2015 / 2016","1",2015-10-10,"1930","20151010-1930_MELvsADL","Melbourne","Home","Adelaide",94,72,22,"Win",39,81,48.1,5,23,21.7,11,15,73.3,34,14,48,18,13,3,2,0,15,15,18,15,0,0,54,87,108,82.8,25.2,1.3,53.3,51.2,14.9,18.5,43.8,83,86.7,113.3,-26.6,0.77,43.9,39,15.7,26,24.4
"2015 / 2016","1",2015-10-10,"1930","20151010-1930_MELvsADL","Adelaide","Away","Melbourne",72,94,-22,"Loss",27,73,37,3,10,30,15,19,78.9,18,11,29,12,13,4,0,2,15,15,10,6,2,0,36,83,86.7,113.3,-26.6,0.77,43.9,39,15.7,26,24.4,87,108,82.8,25.2,1.3,53.3,51.2,14.9,18.5,43.8
"2015 / 2016","2",2015-10-14,"1900","20151014-1900_SYDvsCAN","Sydney","Home","Canberra",85,67,18,"Win",29,57,50.9,7,16,43.8,20,24,83.3,27,5,32,17,15,7,0,2,19,22,13,4,0,22,30,78,109,85.9,23.1,1.27,62.1,57,19.2,42.1,20.8,76,88.2,111.8,-23.6,0.79,52.2,49.1,22.4,26.3,15.6
"2015 / 2016","2",2015-10-14,"1900","20151014-1900_SYDvsCAN","Canberra","Away","Sydney",67,85,-18,"Loss",26,57,45.6,4,13,30.8,11,15,73.3,19,5,24,12,17,3,2,0,22,19,9,4,0,37,24,76,88.2,111.8,-23.6,0.79,52.2,49.1,22.4,26.3,15.6,78,109,85.9,23.1,1.27,62.1,57,19.2,42.1,20.8
"2015 / 2016","2",2015-10-16,"1930","20151016-1930_DANvsSEQ","Dandenong","Home","South-East Queensland",89,81,8,"Win",36,68,52.9,4,9,44.4,13,19,68.4,27,9,36,19,16,4,4,1,12,19,11,6,2,23,48,83,107.2,97.6,9.60000000000001,1.1,57.8,55.9,19.3,27.9,28.1,85,95.3,104.7,-9.40000000000001,0.91,50.2,48,14.1,18.9,20.6
"2015 / 2016","2",2015-10-16,"1930","20151016-1930_DANvsSEQ","South-East Queensland","Away","Dandenong",81,89,-8,"Loss",32,74,43.2,7,18,38.9,10,14,71.4,23,7,30,11,12,11,1,4,19,12,10,8,2,7,40,85,95.3,104.7,-9.40000000000001,0.91,50.2,48,14.1,18.9,20.6,83,107.2,97.6,9.60000000000001,1.1,57.8,55.9,19.3,27.9,28.1
"2015 / 2016","2",2015-10-17,"1930","20151017-1930_ADLvsSYD","Adelaide","Home","Sydney",71,88,-17,"Loss",26,77,33.8,3,13,23.1,16,24,66.7,22,16,38,13,15,9,2,7,23,20,10,13,0,19,28,87,81.6,101.1,-19.5,0.81,40.2,35.7,17.2,31.2,31.4,81,108.6,87.7,20.9,1.24,57.3,53.9,18.5,42.2,31.2
"2015 / 2016","2",2015-10-17,"1930","20151017-1930_ADLvsSYD","Sydney","Away","Adelaide",88,71,17,"Win",33,64,51.6,3,15,20,19,27,70.4,35,10,45,21,15,4,7,2,20,22,14,11,0,37,26,81,108.6,87.7,20.9,1.24,57.3,53.9,18.5,42.2,31.2,87,81.6,101.1,-19.5,0.81,40.2,35.7,17.2,31.2,31.4
"2015 / 2016","2",2015-10-17,"1930","20151017-1930_MELvsPER","Melbourne","Home","Perth",68,78,-10,"Loss",22,57,38.6,6,13,46.2,18,19,94.7,20,9,29,13,17,2,3,4,16,16,9,9,0,0,20,73,93.2,106.8,-13.6,0.87,51.5,43.9,23.3,33.3,29,76,102.6,89.5,13.1,1.15,50.5,47.3,14.5,12.3,37.5
"2015 / 2016","2",2015-10-17,"1930","20151017-1930_MELvsPER","Perth","Away","Melbourne",78,68,10,"Win",31,73,42.5,7,24,29.2,9,9,100,22,12,34,16,11,7,4,3,16,16,16,9,2,14,30,76,102.6,89.5,13.1,1.15,50.5,47.3,14.5,12.3,37.5,73,93.2,106.8,-13.6,0.87,51.5,43.9,23.3,33.3,29
"2015 / 2016","2",2015-10-18,"1300","20151018-1300_TSVvsCAN","Townsville","Home","Canberra",104,60,44,"Win",43,77,55.8,9,21,42.9,9,13,69.2,29,10,39,19,13,8,6,2,25,20,29,12,0,28,50,86,120.9,69.8,51.1,1.73,62.5,61.7,15.1,16.9,45.5,81,74.1,128.4,-54.3,0.58,43.3,33.9,23.5,50,17.1
