"season","round","date","time","gameIDs201617","teamName","homeAway","oppName","pointsTotal","oppPointsTotal","pointsMargin","teamResult","fieldGoalsMade","fieldGoalsAtt","fieldGoalsPct","threesMade","threesAtt","threesPct","freeThrowsMade","freeThrowsAtt","freeThrowsPct","reboundsDef","reboundsOff","reboundsTotal","assists","turnovers","steals","blocks","blocksReceived","foulsPersonal","foulsOn","pointsFromTurnovers","pointsSecondChance","pointsFastBreak","pointsBench","pointsInThePaint","possess","offRtg","defRtg","pointsMarginRtg","offDefRatio","trueShootingRtg","eFGpct","turnoverRate","freeThrowRate","offReboundRate","oppPossess","oppOffRtg","oppDefRtg","oppPointsMarginRtg","oppOffDefRatio","oppTrueShootingRtg","oppeFGpct","oppTurnoverRate","oppFreeThrowRate","oppOffReboundRate"
"2016 / 2017","1",2016-10-07,"1930","20161007-1930_SYDvsPER","Sydney","Home","Perth",90,93,-3,"Loss",33,77,42.9,10,24,41.7,14,17,82.4,32,19,51,25,22,13,5,9,17,16,19,22,13,20,40,87,103.4,106.9,-3.5,0.97,52.9,49.4,25.3,22.1,41.3,89,104.5,101.1,3.40000000000001,1.03,52.8,51.2,21.3,18.5,36
"2016 / 2017","1",2016-10-07,"1930","20161007-1930_SYDvsPER","Perth","Away","Sydney",93,90,3,"Win",34,81,42,15,28,53.6,10,15,66.7,27,18,45,22,19,11,9,5,16,17,17,15,6,33,34,89,104.5,101.1,3.40000000000001,1.03,52.8,51.2,21.3,18.5,36,87,103.4,106.9,-3.5,0.97,52.9,49.4,25.3,22.1,41.3
"2016 / 2017","1",2016-10-08,"1500","20161008-1500_CANvsDAN","Canberra","Home","Dandenong",69,71,-2,"Loss",31,75,41.3,5,23,21.7,2,3,66.7,27,13,40,13,10,4,1,2,16,9,12,12,0,8,40,73,94.5,97.3,-2.8,0.97,45.1,44.7,13.7,4,31,78,91,88.5,2.5,1.03,48.4,41.1,14.1,38.7,18.2
"2016 / 2017","1",2016-10-08,"1500","20161008-1500_CANvsDAN","Dandenong","Away","Canberra",71,69,2,"Win",25,62,40.3,1,7,14.3,20,24,83.3,29,6,35,5,11,3,2,1,9,16,18,4,0,9,38,78,91,88.5,2.5,1.03,48.4,41.1,14.1,38.7,18.2,73,94.5,97.3,-2.8,0.97,45.1,44.7,13.7,4,31
"2016 / 2017","1",2016-10-08,"1930","20161008-1930_BENvsADL","Bendigo","Home","Adelaide",77,63,14,"Win",31,67,46.3,6,14,42.9,9,17,52.9,27,11,38,18,18,5,6,3,21,23,14,14,4,33,42,81,95.1,77.8,17.3,1.22,51.3,50.7,22.2,25.4,35.5,76,82.9,101.3,-18.4,0.82,44.4,39.5,18.4,30.6,22.9
"2016 / 2017","1",2016-10-08,"1930","20161008-1930_BENvsADL","Adelaide","Away","Bendigo",63,77,-14,"Loss",22,62,35.5,5,22,22.7,14,19,73.7,20,8,28,14,14,6,3,6,23,21,23,4,7,17,24,76,82.9,101.3,-18.4,0.82,44.4,39.5,18.4,30.6,22.9,81,95.1,77.8,17.3,1.22,51.3,50.7,22.2,25.4,35.5
"2016 / 2017","1",2016-10-09,"1300","20161009-1300_TSVvsPER","Townsville","Home","Perth",84,62,22,"Win",30,67,44.8,8,20,40,16,20,80,32,15,47,15,16,1,6,7,17,21,19,17,9,20,28,77,109.1,80.5,28.6,1.36,54.9,50.7,20.8,29.9,40.5,77,80.5,109.1,-28.6,0.74,39.4,37.2,20.8,13.5,34.7
"2016 / 2017","1",2016-10-09,"1300","20161009-1300_TSVvsPER","Perth","Away","Townsville",62,84,-22,"Loss",25,74,33.8,5,18,27.8,7,10,70,22,17,39,3,16,5,7,6,21,17,12,13,5,13,30,77,80.5,109.1,-28.6,0.74,39.4,37.2,20.8,13.5,34.7,77,109.1,80.5,28.6,1.36,54.9,50.7,20.8,29.9,40.5
"2016 / 2017","1",2016-10-09,"1500","20161009-1500_MELvsADL","Melbourne","Home","Adelaide",75,69,6,"Win",28,73,38.4,6,26,23.1,13,17,76.5,24,18,42,16,7,9,5,1,14,16,18,7,6,18,28,69,108.7,100,8.7,1.09,46.3,42.5,10.1,23.3,38.3,72,95.8,104.2,-8.40000000000001,0.92,45.3,39.9,20.8,21.7,44.2
"2016 / 2017","1",2016-10-09,"1500","20161009-1500_MELvsADL","Adelaide","Away","Melbourne",69,75,-6,"Loss",25,69,36.2,5,20,25,14,15,93.3,29,19,48,14,15,3,1,4,16,14,5,17,4,18,24,72,95.8,104.2,-8.40000000000001,0.92,45.3,39.9,20.8,21.7,44.2,69,108.7,100,8.7,1.09,46.3,42.5,10.1,23.3,38.3
"2016 / 2017","2",2016-10-14,"1900","20161014-1900_CANvsADL","Canberra","Home","Adelaide",70,64,6,"Win",30,80,37.5,5,14,35.7,5,7,71.4,32,14,46,9,8,5,5,4,18,13,8,17,0,8,34,77,90.9,83.1,7.80000000000001,1.09,42,40.6,10.4,8.8,33.3,77,83.1,90.9,-7.80000000000001,0.91,38.6,33.6,15.6,28.8,34.7
"2016 / 2017","2",2016-10-14,"1900","20161014-1900_CANvsADL","Adelaide","Away","Canberra",64,70,-6,"Loss",23,73,31.5,3,13,23.1,15,21,71.4,28,17,45,8,12,4,4,5,13,18,5,12,2,18,34,77,83.1,90.9,-7.80000000000001,0.91,38.6,33.6,15.6,28.8,34.7,77,90.9,83.1,7.80000000000001,1.09,42,40.6,10.4,8.8,33.3
"2016 / 2017","2",2016-10-15,"1900","20161015-1900_BENvsDAN","Bendigo","Home","Dandenong",59,44,15,"Win",24,53,45.3,2,9,22.2,9,12,75,28,12,40,8,19,4,3,1,17,12,7,12,0,16,34,65,90.8,67.7,23.1,1.34,50.3,47.2,29.2,22.6,46.2,74,59.5,79.7,-20.2,0.75,29.5,27.2,14.9,20.6,28.2
"2016 / 2017","2",2016-10-15,"1900","20161015-1900_BENvsDAN","Dandenong","Away","Bendigo",44,59,-15,"Loss",18,68,26.5,1,8,12.5,7,14,50,14,11,25,6,11,1,1,3,14,11,9,4,0,17,16,74,59.5,79.7,-20.2,0.75,29.5,27.2,14.9,20.6,28.2,65,90.8,67.7,23.1,1.34,50.3,47.2,29.2,22.6,46.2
