"season","pageIDs201415","teamName","teamShortName","homeAway","oppName","pointsTotal","oppPointsTotal","pointsMargin","fieldGoalsMade","fieldGoalsAtt","fieldGoalsPct","threesMade","threesAtt","threesPct","freeThrowsMade","freeThrowsAtt","freeThrowsPct","reboundsDef","reboundsOff","reboundsTotal","assists","turnovers","steals","blocks","blocksReceived","foulsPersonal","foulsOn","pointsFromTurnovers","pointsSecondChance","pointsFastBreak","pointsBench","pointsInThePaint"
"2014 / 2015",64511,"Melbourne","Boomers","Home","University of Canberra","62",69,-7,"26","63","41.3","2","8","25","8","11","72.7","15","3","18","16","11","13","4","2","16","16","19","0","2","5","28"
"2014 / 2015",64511,"University of Canberra","University of Canber","Away","Melbourne","69",62,7,"26","57","45.6","7","15","46.7","10","13","76.9","34","12","46","14","23","5","2","4","16","16","12","8","0","9","36"
"2014 / 2015",64512,"Dandenong","Dandenong","Home","Melbourne","73",51,22,"33","75","44","3","16","18.8","4","6","66.7","30","13","43","13","11","4","3","0","15","9","17","17","0","8","34"
"2014 / 2015",64512,"Melbourne","Boomers","Away","Dandenong","51",73,-22,"21","73","28.8","2","16","12.5","7","8","87.5","28","16","44","11","14","7","0","3","9","15","8","12","0","17","20"
"2014 / 2015",64513,"University of Canberra","University of Canber","Home","Sydney Uni","70",73,-3,"30","66","45.5","5","19","26.3","5","8","62.5","28","10","38","14","20","3","5","6","19","14","6","11","4","30","32"
"2014 / 2015",64513,"Sydney Uni","Sydney Uni","Away","University of Canberra","73",70,3,"26","67","38.8","5","14","35.7","16","21","76.2","21","10","31","9","10","5","6","5","15","19","6","4","2","14","26"
"2014 / 2015",64514,"West Coast","West Coast","Home","Adelaide","92",68,24,"27","62","43.5","13","25","52","25","36","69.4","29","6","35","25","15","9","3","6","22","24","16","5","0","32","20"
"2014 / 2015",64514,"Adelaide","Adelaide","Away","West Coast","68",92,-24,"24","68","35.3","2","22","9.1","18","20","90","25","6","31","13","18","4","6","3","24","21","11","4","0","22","30"
"2014 / 2015",64515,"Townsville","Fire","Home","Bendigo","70",67,3,"26","67","38.8","4","16","25","14","20","70","26","8","34","16","14","1","8","2","15","19","11","8","0","29","32"
"2014 / 2015",64515,"Bendigo","Spirit","Away","Townsville","67",70,-3,"26","66","39.4","6","17","35.3","9","11","81.8","26","9","35","12","14","2","2","8","19","15","15","2","0","14","30"
"2014 / 2015",64516,"Adelaide","Adelaide","Home","Dandenong","68",63,5,"26","67","38.8","6","21","28.6","10","17","58.8","30","11","41","20","10","1","4","0","13","18","6","8","0","26","28"
"2014 / 2015",64516,"Dandenong","Dandenong","Away","Adelaide","63",68,-5,"28","78","35.9","2","13","15.4","5","8","62.5","25","12","37","18","6","3","0","4","18","13","12","6","0","4","24"
"2014 / 2015",64517,"Bendigo","Bendigo","Home","UC Capitals","67",60,7,"27","69","39.1","5","23","21.7","8","13","61.5","17","9","26","21","9","10","1","3","16","18","18","6","4","22","38"
"2014 / 2015",64517,"UC Capitals","UC Capitals","Away","Bendigo","60",67,-7,"22","64","34.4","5","18","27.8","11","13","84.6","32","18","50","8","25","6","3","1","18","15","6","6","2","15","28"
"2014 / 2015",64518,"Dandenong","Dandenong","Home","Sydney Uni","78",81,-3,"29","75","38.7","5","15","33.3","15","19","78.9","27","13","40","14","9","4","1","3","20","16","5","15","1","7","18"
"2014 / 2015",64518,"Sydney Uni","Sydney Uni","Away","Dandenong","81",78,3,"26","72","36.1","8","21","38.1","21","33","63.6","27","17","44","21","10","2","3","1","15","19","5","10","3","22","24"
"2014 / 2015",64519,"Melbourne","Boomers","Home","Bendigo","67",76,-9,"29","61","47.5","2","11","18.2","7","11","63.6","20","2","22","20","15","8","5","4","15","15","18","0","4","7","36"
"2014 / 2015",64519,"Bendigo","Bendigo","Away","Melbourne","76",67,9,"29","59","49.2","4","8","50","14","16","87.5","25","11","36","18","19","4","4","5","15","15","10","9","4","13","24"
"2014 / 2015",64520,"Townsville","Fire","Home","West Coast","93",58,35,"34","77","44.2","5","16","31.2","20","24","83.3",NA,NA,"51","22","11","9","0","4","19","20",NA,NA,NA,NA,NA
"2014 / 2015",64520,"West Coast","West Coast","Away","Townsville","58",93,-35,"22","56","39.3","4","12","33.3","10","20","50",NA,NA,"29","11","21","6","4","0","20","19",NA,NA,NA,NA,NA
"2014 / 2015",64521,"Bendigo","Bendigo","Home","Dandenong","97",75,22,"38","72","52.8","8","21","38.1","13","17","76.5","24","15","39","29","12","4","4","3","15","17","10","12","4","31","42"
"2014 / 2015",64521,"Dandenong","Dandenong","Away","Bendigo","75",97,-22,"30","68","44.1","3","13","23.1","12","13","92.3","19","9","28","17","11","5","3","4","17","15","15","4","0","17","28"
"2014 / 2015",64522,"Townsville","Townsville","Home","Adelaide","86",60,26,"32","75","42.7","6","14","42.9","16","26","61.5","34","19","53","17","14","8","5","2","9","18","14","10","0","13","38"
"2014 / 2015",64522,"Adelaide","Adelaide","Away","Townsville","60",86,-26,"26","70","37.1","5","16","31.3","3","5","60","26","7","33","13","16","3","2","5","18","9","6","11","0","30","26"
