"season","pageIDs201617","teamName","teamShortName","homeAway","oppName","pointsTotal","oppPointsTotal","pointsMargin","fieldGoalsMade","fieldGoalsAtt","fieldGoalsPct","threesMade","threesAtt","threesPct","freeThrowsMade","freeThrowsAtt","freeThrowsPct","reboundsDef","reboundsOff","reboundsTotal","assists","turnovers","steals","blocks","blocksReceived","foulsPersonal","foulsOn","pointsFromTurnovers","pointsSecondChance","pointsFastBreak","pointsBench","pointsInThePaint"
"2016 / 2017",311810,"Sydney Uni Flames","Flames","Home","Perth Lynx","90",93,-3,"33","77","42","10","24","41","14","17","82","32","19","51","25","22","13","5","9","17","16","19","22","13","20","40"
"2016 / 2017",311810,"Perth Lynx","Lynx","Away","Sydney Uni Flames","93",90,3,"34","81","41","15","28","53","10","15","66","27","18","45","22","19","11","9","5","16","17","17","15","6","33","34"
"2016 / 2017",311811,"UC Capitals","Capitals","Home","Dandenong Rangers","69",71,-2,"31","75","41","5","23","21","2","3","66","27","13","40","13","10","4","1","2","16","9","12","12","0","8","40"
"2016 / 2017",311811,"Dandenong Rangers","Rangers","Away","UC Capitals","71",69,2,"25","62","40","1","7","14","20","24","83","29","6","35","5","11","3","2","1","9","16","18","4","0","9","38"
"2016 / 2017",311813,"Townsville Fire","Fire","Home","Perth Lynx","84",62,22,"30","67","44","8","20","40","16","20","80","32","15","47","15","16","1","6","7","17","21","19","17","9","20","28"
"2016 / 2017",311813,"Perth Lynx","Lynx","Away","Townsville Fire","62",84,-22,"25","74","33","5","18","27","7","10","70","22","17","39","3","16","5","7","6","21","17","12","13","5","13","30"
"2016 / 2017",311814,"Melbourne Boomers","Melbourne Boomers","Home","Adelaide Lightning","75",69,6,"28","73","38","6","26","23","13","17","76","24","18","42","16","7","9","5","1","14","16","18","7","6","18","28"
"2016 / 2017",311814,"Adelaide Lightning","Lightning","Away","Melbourne Boomers","69",75,-6,"25","69","36","5","20","25","14","15","93","29","19","48","14","15","3","1","4","16","14","5","17","4","18","24"
"2016 / 2017",311816,"Bendigo Spirit","Spirit","Home","Dandenong Rangers","59",44,15,"24","53","45","2","9","22","9","12","75","28","12","40","8","19","4","3","1","17","12","7","12","0","16","34"
"2016 / 2017",311816,"Dandenong Rangers","Rangers","Away","Bendigo Spirit","44",59,-15,"18","68","26","1","8","12","7","14","50","14","11","25","6","11","1","1","3","14","11","9","4","0","17","16"
"2016 / 2017",311817,"Melbourne Boomers","Melbourne Boomers","Home","Perth Lynx","85",88,-3,"32","71","45","6","15","40","15","15","100","18","18","36","24","14","9","1","2","18","20","13","10","6","20","34"
